,AGE,GENDER,STATE,EDUC,MARRIED,JOB,INC,PEOPLE,PINC,CEREAL,ROOT,VEGAN,FRUITS,MEAT,EGGS,MILK,OIL,SUGAR,WELL,CWELL,PWELL,ORG,CORG,PORG,GARDEN,CGARDEN,PGARDEN,VEG,CVEG,PVEG,GARDV1,GARDV2,GARDV3,GARDV4,GARDV5,NGARD,FGARD,INDEXV,INDEXN,VEGROOT,MEETEGG,DEPRATIO
157,44.0,1.0,PE,9.0,0.0,1.0,2500.0,3.0,2.0,7.0,2.0,2.0,3.0,3.0,7.0,1.0,7.0,7.0,7.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,89.0,3,7.0,7.0,0.3333333333333333
158,40.0,1.0,PE,12.0,1.0,0.0,1500.0,2.0,1.0,6.0,1.0,5.0,0.0,1.0,3.0,0.0,4.0,2.0,5.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,61.5,3,7.0,3.0,0.5
159,40.0,1.0,PE,12.0,0.0,1.0,2500.0,4.0,2.0,7.0,7.0,7.0,5.0,6.0,7.0,7.0,6.0,7.0,7.0,3.0,5.0,4.0,5.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,105.0,3,7.0,7.0,0.5
160,55.0,1.0,PE,16.0,1.0,1.0,2500.0,1.0,1.0,7.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,7.0,1.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,73.5,3,7.0,6.0,0.0
161,31.0,1.0,PE,12.0,0.0,0.0,1500.0,2.0,1.0,7.0,0.0,7.0,7.0,3.0,4.0,5.0,4.0,7.0,7.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,96.0,3,7.0,7.0,0.5
162,44.0,0.0,PE,12.0,0.0,1.0,4500.0,3.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,112.0,3,7.0,7.0,0.6666666666666666
163,35.0,1.0,PE,16.0,1.0,1.0,2500.0,1.0,1.0,4.0,2.0,4.0,3.0,5.0,7.0,5.0,4.0,5.0,7.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,3,6.0,7.0,0.0
164,41.0,1.0,SP,16.0,1.0,1.0,4500.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,7.0,1.0,3.0,6.0,5.0,4.0,2.0,5.0,4.0,2.0,4.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,68.5,3,7.0,7.0,0.0
165,40.0,1.0,PE,16.0,0.0,0.0,2500.0,2.0,1.0,7.0,2.0,7.0,7.0,4.0,7.0,5.0,0.0,7.0,7.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,3,7.0,7.0,0.5
166,36.0,1.0,PE,22.0,0.0,1.0,8000.0,3.0,2.0,7.0,3.0,3.0,5.0,3.0,7.0,0.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,3,7.0,7.0,0.3333333333333333
167,43.0,0.0,PE,14.0,1.0,1.0,6500.0,2.0,2.0,7.0,5.0,7.0,4.0,2.0,7.0,5.0,4.0,7.0,7.0,2.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,92.0,3,7.0,7.0,0.0
168,44.0,1.0,PE,12.0,1.0,1.0,2500.0,3.0,2.0,3.0,0.0,7.0,7.0,4.0,1.0,4.0,7.0,3.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,91.0,3,3.0,5.0,0.3333333333333333
169,53.0,0.0,PE,12.0,0.0,1.0,4500.0,5.0,3.0,7.0,5.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,0.0,3.0,5.0,1.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,107.5,3,7.0,7.0,0.4
170,32.0,1.0,PE,14.0,1.0,1.0,2500.0,1.0,0.0,5.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,2.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,89.5,3,7.0,7.0,1.0
171,48.0,0.0,PE,12.0,0.0,1.0,8000.0,4.0,4.0,7.0,2.0,7.0,5.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,82.0,3,7.0,7.0,0.0
172,48.0,1.0,PE,12.0,0.0,1.0,2500.0,3.0,2.0,3.0,3.0,4.0,3.0,6.0,6.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,75.0,3,6.0,7.0,0.3333333333333333
173,34.0,1.0,PE,12.0,0.0,1.0,4500.0,3.0,2.0,7.0,4.0,5.0,5.0,2.0,5.0,7.0,7.0,6.0,6.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,98.0,3,7.0,7.0,0.3333333333333333
