Column1;AGE;GENDER;STATE;EDUC;MARRIED;JOB;INC;PEOPLE;PINC;CEREAL;ROOT;VEGAN;FRUITS;MEAT;EGGS;MILK;OIL;SUGAR;WELL;CWELL;PWELL;ORG;CORG;PORG;GARDEN;CGARDEN;PGARDEN;VEG;CVEG;PVEG;GARDV1;GARDV2;GARDV3;GARDV4;GARDV5;NGARD;FGARD;INDEXV;INDEXN;VEGROOT;MEETEGG;DEPRATIO
297;260;0;AM;140;0;0;25000;30;20;60;20;0;0;10;70;0;70;40;70;10;10;50;10;10;20;10;10;10;10;10;0;0;0;0;10;0;10;765;3;70;70;3,33333E+15
298;580;0;BA;140;0;0;25000;30;20;0;30;40;70;30;70;70;20;0;0;40;40;50;50;30;50;40;30;40;20;10;10;10;0;10;10;0;40;640;3;30;70;3,33333E+15
299;590;10;GO;140;10;10;65000;30;30;70;40;70;40;60;70;0;70;70;20;20;10;20;40;20;50;40;40;40;20;40;10;0;0;0;0;0;10;1055;3;70;70;0
300;430;10;SP;160;0;0;135000;30;10;70;10;30;0;0;50;30;30;30;40;40;40;30;40;20;30;20;20;20;10;10;10;0;0;0;0;0;10;665;3;70;70;6,66667E+15
301;630;10;RJ;180;10;0;135000;10;0;50;70;50;70;70;70;40;50;0;60;40;30;20;50;30;40;40;40;20;10;20;0;0;0;0;10;0;10;940;3;70;70;10
302;600;10;SP;120;10;10;275000;40;30;70;50;30;70;70;30;10;70;0;0;40;50;50;50;40;50;50;50;50;20;20;10;10;0;10;10;0;40;810;3;70;40;25
303;680;10;MG;160;10;0;45000;50;20;70;30;20;70;60;60;70;20;30;30;40;40;50;50;20;40;40;40;40;20;40;10;10;0;10;10;0;40;720;3;70;70;6
304;410;10;PE;160;0;10;25000;30;20;50;30;50;20;50;30;70;0;70;40;40;40;50;50;10;40;40;40;40;10;30;10;10;0;10;10;0;40;695;3;70;70;3,33333E+15
305;620;10;BA;160;10;0;80000;30;10;70;70;40;70;70;50;70;70;70;70;40;40;50;40;30;50;40;40;30;20;30;10;0;0;10;0;0;20;1030;3;70;70;6,66667E+15
306;460;10;BA;160;0;10;45000;20;20;70;70;70;70;70;70;70;70;70;70;30;40;40;40;30;50;40;40;20;30;40;10;0;0;10;10;0;30;1120;3;70;70;0
307;530;10;DF;160;10;0;25000;20;10;70;40;50;40;40;50;0;50;50;40;20;20;20;20;20;20;20;20;20;10;20;10;10;0;10;10;0;40;815;3;70;50;5
308;460;10;PR;160;10;10;25000;30;20;70;50;70;70;40;30;30;30;40;30;20;20;40;30;20;40;20;30;30;20;40;10;10;0;10;10;0;40;855;3;70;60;3,33333E+15
309;210;10;PE;140;10;0;45000;30;20;70;70;70;70;70;70;70;70;0;0;50;50;50;50;50;50;50;40;50;30;50;0;0;0;0;10;0;10;1050;3;70;70;3,33333E+15
