IBGE;MUNIC;UF;VABAG;VABIND;VABSER;VABADM;VABTOT;PIB;PIBPC
1506161;Rio Maria;PA;163334,631;122414,356;135016,001;90934,351;511699,339;601871,92;33055,36
1506187;Rondon do Pará;PA;176744,669;41616,914;221510,93;230900,665;670773,179;734050,157;13787,05
1506195;Rurópolis;PA;90007,638;66000,447;105360,252;202522,982;463891,319;496837,224;9468,44
1506203;Salinópolis;PA;21407,633;58837,379;301418,578;185979,451;567643,042;641900,692;15593,74
1506302;Salvaterra;PA;36072,596;9153,642;46037,052;110740,297;202003,587;210370,983;8624,59
1506351;Santa Bárbara do Pará;PA;12848,45;55646,902;44691,357;100335,128;213521,837;240524,216;11027,66
1506401;Santa Cruz do Arari;PA;37430,059;1680,266;8709,065;46908,978;94728,368;96042,725;9150,41
1506500;Santa Izabel do Pará;PA;117822,254;69326,069;328967,289;298225,573;814341,185;935129,075;12835,31
1506559;Santa Luzia do Pará;PA;41040,005;5778,258;39843,097;100950,04;187611,399;196168,095;9888
1506583;Santa Maria das Barreiras;PA;337615,535;442885,686;147369,068;104679,802;1032550,09;1072244,489;48203,76
1506609;Santa Maria do Pará;PA;105234,825;27652,62;106131,314;103358,321;342377,08;371642,16;14790,55
1506708;Santana do Araguaia;PA;379315,467;141652,939;390630,242;292124,831;1203723,479;1381971,626;18185,03
1506807;Santarém;PA;442113,314;563907,408;3180360,174;1337183,602;5523564,498;6390528,311;20725,66
1506906;Santarém Novo;PA;11704,756;1987,221;8038,069;36857,26;58587,306;60065,43;8838,35
1507003;Santo Antônio do Tauá;PA;160572,47;55000,895;75802,159;147390,667;438766,192;475569,11;14702,56
1507102;São Caetano de Odivelas;PA;58502,663;5439,629;28955,349;84953,926;177851,567;183191,182;10061,58
1507151;São Domingos do Araguaia;PA;107269,484;13817,448;90943,865;124505,41;336536,207;359021,277;13837,78
1507201;São Domingos do Capim;PA;204220,646;14424,233;50738,342;159399,164;428782,385;438410,279;13579,38
1507300;São Félix do Xingu;PA;879583,556;186707,781;327949,307;494497,996;1888738,641;2009122,073;14802,13
1507409;São Francisco do Pará;PA;108779,009;11983,527;52649,611;76108,319;249520,467;264373,94;16546,12
