IBGE;MUNIC;OP3114;OP3115;OP3116;OP3117;OP3118;OP3119;OP3120;OP3121;OP3122;OP3123;OP3214;OP3215;OP3216;OP3217;OP3218;OP3219;OP3220;OP3221;OP3222;OP3223;OP33A14;OP33A15;OP33A16;OP33A17;OP33A18;OP33A19;OP33A20;OP33A21;OP33A22;OP33A23
5107008;Poxoréu;0;0;0;0;0;0;0;0;0;19,14;0;0;0;8,95;0;8,95;0;0;80,54;170,04;0;0;0;0;0;0;0;0;54,72;91,21
5107040;Primavera do Leste;0;0;0;0;57,14;57,14;0;0;171,43;0;11,82;113,5;11,82;16,55;21,28;49,65;56,75;82,76;78,03;80,39;4,98;34,86;9,96;4,98;4,98;54,78;29,88;9,96;29,88;59,76
5107065;Querência;0;0;0;0;5,32;0;0;0;5,32;5,32;0;15,69;0;31,39;23,54;7,85;15,69;102,01;156,94;368,8;0;0;0;0;14,54;0;0;43,63;87,26;232,69
5107107;São José dos Quatro Marcos;0;0;0;0;0;0;0;0;0;0;0;11,11;0;0;0;66,64;55,53;11,11;11,11;44,42;0;0;0;0;0;29,32;0;0;0;87,95
5107156;Reserva do Cabaçal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;187,44;93,72;0;0;0;0;0;0;0;0;0;210,08;0;0;0;0
5107180;Ribeirão Cascalheira;0;0;0;0;0;0;0;0;10,64;10,64;0;0;0;0;0;0;221,73;20,16;262,04;120,94;0;0;0;0;0;0;40,44;0;40,44;0
5107198;Ribeirãozinho;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80,52;0;161,03;80,52;0;161,03;0;0;0;0;0;0;181,16;0;0;181,16
5107206;Rio Branco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43,23;0;0;0;86,47;43,23;212,99;0;0;0;0;0;106,5;0;106,5;0
5107248;Santa Carmem;0;0;0;0;0;0;0;0;0;0;0;38,73;38,73;38,73;116,19;348,57;38,73;116,19;38,73;193,65;0;0;0;0;74,68;149,37;0;74,68;74,68;224,05
5107263;Santo Afonso;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81,83;0;0;0;0;0;0;0;0;0;0
5107297;São José do Povo;0;0;0;0;0;0;0;0;0;0;0;0;71,58;0;0;0;0;0;0;143,16;0;0;0;0;0;0;0;0;0;202,02
5107305;São José do Rio Claro;0;0;0;0;0;0;0;0;0;0;0;0;40,86;0;0;13,62;13,62;13,62;0;40,86;0;0;0;0;0;0;0;0;0;28,79
5107354;São José do Xingu;0;0;0;0;0;0;0;0;0;0;320,97;356,63;213,98;142,65;285,31;71,33;106,99;0;106,99;71,33;179,1;358,21;119,4;0;59,7;0;59,7;0;0;59,7
5107404;São Pedro da Cipa;0;0;0;0;0;0;0;0;0;0;0;143,75;47,92;0;0;95,83;143,75;0;47,92;0;0;0;0;0;0;99,6;99,6;0;0;0
5107578;Rondolândia;0;0;0;0;0;0;0;0;0;19,82;0;0;0;0;0;118,41;177,62;0;59,21;236,83;0;0;0;0;0;199,4;0;0;99,7;99,7
5107602;Rondonópolis;43,72;43,72;43,72;21,86;10,93;43,72;76,5;87,43;76,5;131,15;87,72;110,46;122,65;71,48;68,23;91,78;140,52;136,45;254,23;401,24;92,07;123,38;163,89;69,98;86,55;47,88;134,43;130,74;268,85;265,17
5107701;Rosário Oeste;0;0;0;0;0;0;0;0;0;0;0;0;27,02;0;27,02;13,51;0;13,51;13,51;40,54;0;0;31,44;0;0;0;0;0;0;0
5107743;Santa Cruz do Xingu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79,74;159,49;0;0;0;0;0;0;0;0;0;0
5107750;Salto do Céu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54,98;0;0;0;0;0;0;0;0;0;0;0;0;0
5107768;Santa Rita do Trivelato;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126,74;0;0;0;126,74;190,11;0;0;0;0;0;0;0;0;0;0
5107776;Santa Terezinha;0;26,92;40,38;0;6,73;0;0;0;13,46;87,48;0;0;83,68;0;83,68;83,68;0;0;27,89;223,15;0;46,32;0;0;46,32;46,32;0;0;0;92,64
5107792;Santo Antônio do Leste;0;0;0;0;0;0;0;0;0;0;51,23;0;51,23;153,69;0;0;0;0;0;0;165,56;165,56;0;82,78;0;0;0;0;0;0
5107800;Santo Antônio de Leverger;0;0;0;0;0;0;0;0;0;23,04;13,42;0;0;0;0;0;0;0;26,84;13,42;0;0;0;0;0;0;0;0;29,1;0
5107859;São Félix do Araguaia;151,32;0;0;0;0;0;0;37,83;63,05;50,44;47,73;0;0;15,91;47,73;79,54;79,54;79,54;47,73;95,45;96,65;0;0;0;0;32,22;0;0;0;64,43
5107875;Sapezal;0;0;0;0;0;0;0;0;0;23,92;0;0;0;0;7,31;7,31;14,63;7,31;7,31;109,7;0;0;0;0;0;13,78;13,78;13,78;0;96,45
5107883;Serra Nova Dourada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119,05;119,05;0;0;0;0;0;0;0;0;242,13;242,13;0
